image_path	predicted	L2_distance	others(top-k)
7988559/test/sapi_m/sapi_m_02.jpg	sapi_m	74.0573	sapi_m:74.0573; sapi_c1:236.9373; sapi_b1:314.2733
7988559/test/sapi_m/sapi_m_08.jpg	sapi_o	128.2586	sapi_o:128.2586; sapi_f:237.2664; sapi_d1:253.8406
7988559/test/sapi_n/sapi_n_1.jpg	sapi_n	158.9707	sapi_n:158.9707; sapi_z:290.6676; sapi_j:330.6178
7988559/test/sapi_n/sapi_n_4.jpg	sapi_n	79.1390	sapi_n:79.1390; sapi_i:263.1681; sapi_z:286.1473
7988559/test/sapi_o/sapi_o_3.jpg	sapi_o	115.6040	sapi_o:115.6040; sapi_f:179.0548; sapi_i:278.3559
7988559/test/sapi_o/sapi_o_5.jpg	sapi_o	168.7383	sapi_o:168.7383; sapi_f:270.6683; sapi_d1:276.0254
7988559/test/sapi_p/sapi_p_10.jpg	sapi_r	185.5899	sapi_r:185.5899; sapi_s:244.1454; sapi_y:246.2636
7988559/test/sapi_p/sapi_p_15.jpg	sapi_r	110.6588	sapi_r:110.6588; sapi_s:227.9786; sapi_y:250.2023
7988559/test/sapi_q/sapi_q_2.jpg	sapi_q	156.8115	sapi_q:156.8115; sapi_n:241.1778; sapi_i:243.6286
7988559/test/sapi_q/sapi_q_4.jpg	sapi_q	131.8762	sapi_q:131.8762; sapi_b1:250.7124; sapi_g:266.2413
7988559/test/sapi_r/sapi_r_10.jpg	sapi_s	225.6751	sapi_s:225.6751; sapi_r:243.1668; sapi_y:248.8035
7988559/test/sapi_r/sapi_r_15.jpg	sapi_r	113.9528	sapi_r:113.9528; sapi_s:212.4664; sapi_a1:236.7972
7988559/test/sapi_s/sapi_s_6.jpg	sapi_s	101.1633	sapi_s:101.1633; sapi_y:121.2667; sapi_r:266.0482
7988559/test/sapi_s/sapi_s_8.jpg	sapi_s	122.4098	sapi_s:122.4098; sapi_y:155.6939; sapi_r:236.9612
7988559/test/sapi_t/sapi_t_1.jpg	sapi_t	217.7824	sapi_t:217.7824; sapi_u:291.3999; sapi_e:298.3213
7988559/test/sapi_t/sapi_t_6.jpg	sapi_e	121.9308	sapi_e:121.9308; sapi_t:154.7683; sapi_a1:217.4086
7988559/test/sapi_u/sapi_u_1.jpg	sapi_u	98.6009	sapi_u:98.6009; sapi_t:181.1822; sapi_g:227.9989
7988559/test/sapi_u/sapi_u_6.jpg	sapi_u	115.3407	sapi_u:115.3407; sapi_i:210.9260; sapi_d:211.7043
7988559/test/sapi_v/sapi_v_6.jpg	sapi_w	178.0910	sapi_w:178.0910; sapi_c:183.1874; sapi_v:228.2503
7988559/test/sapi_v/sapi_v_8.jpg	sapi_p	302.6151	sapi_p:302.6151; sapi_v:312.7797; sapi_a1:330.1347
7988559/test/sapi_w/sapi_w_16.jpg	sapi_v	218.7171	sapi_v:218.7171; sapi_c:271.7862; sapi_r:290.5396
7988559/test/sapi_w/sapi_w_3.jpg	sapi_w	99.1824	sapi_w:99.1824; sapi_v:265.5447; sapi_c:278.2018
7988559/test/sapi_x/sapi_x_14.jpg	sapi_z	141.6064	sapi_z:141.6064; sapi_x:208.2979; sapi_d:248.4355
7988559/test/sapi_x/sapi_x_15.jpg	sapi_x	148.4286	sapi_x:148.4286; sapi_d:249.8633; sapi_l:262.0549
7988559/test/sapi_y/sapi_y_17.jpg	sapi_r	216.1897	sapi_r:216.1897; sapi_t:237.8524; sapi_a1:239.3693
7988559/test/sapi_y/sapi_y_2.jpg	sapi_s	196.3429	sapi_s:196.3429; sapi_y:210.2359; sapi_r:261.7617
7988559/test/sapi_z/sapi_z_11.jpg	sapi_h	151.0907	sapi_h:151.0907; sapi_t:159.7828; sapi_j:181.8395
7988559/test/sapi_z/sapi_z_2.jpg	sapi_i	172.6356	sapi_i:172.6356; sapi_z:196.0467; sapi_h:230.0016
